Categoría,Juego,Peso
Expansión y Desarrollo de Civilizaciones,Agricola,2
Expansión y Desarrollo de Civilizaciones,Newton,4.3999999999999995
Expansión y Desarrollo de Civilizaciones,Cytosis: A Cell Biology Board Game,1
Expansión y Desarrollo de Civilizaciones,Welcome to Centerville,0.9
Expansión y Desarrollo de Civilizaciones,Cacao,2.5
Expansión y Desarrollo de Civilizaciones,Roll for the Galaxy,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Rajas of the Ganges,1.8
Expansión y Desarrollo de Civilizaciones,Lords of Waterdeep,1.8
Expansión y Desarrollo de Civilizaciones,The World of Smog: On Her Majesty's Service,0.7
Expansión y Desarrollo de Civilizaciones,Elysium,0.8
Expansión y Desarrollo de Civilizaciones,Railways of the World,2.4000000000000004
Expansión y Desarrollo de Civilizaciones,Escape Plan,1.5
Expansión y Desarrollo de Civilizaciones,Camel Up,0.8
Expansión y Desarrollo de Civilizaciones,Crazy Karts,1.6
Expansión y Desarrollo de Civilizaciones,Downforce,0.7
Expansión y Desarrollo de Civilizaciones,Jamaica,0.7
Expansión y Desarrollo de Civilizaciones,Hare & Tortoise,0.9
Expansión y Desarrollo de Civilizaciones,Cartographers,0.8
Expansión y Desarrollo de Civilizaciones,Reef,0.8
Expansión y Desarrollo de Civilizaciones,Bosk,0.9
Expansión y Desarrollo de Civilizaciones,Azul,0.8
Expansión y Desarrollo de Civilizaciones,Azul: Stained Glass of Sintra,1.5
Expansión y Desarrollo de Civilizaciones,Azul: Summer Pavilion,0.8
Expansión y Desarrollo de Civilizaciones,Battle Sheep,0.7
Expansión y Desarrollo de Civilizaciones,Blokus,0.8
Expansión y Desarrollo de Civilizaciones,Qwirkle,0.8
Expansión y Desarrollo de Civilizaciones,Dragoon,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Vast: The Crystal Caverns,2.2
Expansión y Desarrollo de Civilizaciones,Dragon Rampage,0.9
Expansión y Desarrollo de Civilizaciones,Tsuro,0.8
Expansión y Desarrollo de Civilizaciones,Clank!: A Deck-Building Adventure,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Clank!: Sunken Treasures,2.4000000000000004
Expansión y Desarrollo de Civilizaciones,Sushi Go Party!,0.8
Expansión y Desarrollo de Civilizaciones,NMBR 9,0.8
Expansión y Desarrollo de Civilizaciones,Takenoko,2.3
Expansión y Desarrollo de Civilizaciones,Adventure Land,0.7
Expansión y Desarrollo de Civilizaciones,Greedy Greedy Goblins,0.8
Expansión y Desarrollo de Civilizaciones,Ogre,0.8
Expansión y Desarrollo de Civilizaciones,Abandon Planet,1.7
Expansión y Desarrollo de Civilizaciones,For Sale,0.7
Expansión y Desarrollo de Civilizaciones,Robo Rally,0.7
Expansión y Desarrollo de Civilizaciones,Patria Libre,0.9
Expansión y Desarrollo de Civilizaciones,Scythe,4.2
Expansión y Desarrollo de Civilizaciones,Power Grid,3.3
Expansión y Desarrollo de Civilizaciones,Root,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Glow,0.7
Expansión y Desarrollo de Civilizaciones,Tierra y Libertad: The Mexican Revolution Game (Second Edition),1.9
Expansión y Desarrollo de Civilizaciones,Call to Adventure,0.9
Expansión y Desarrollo de Civilizaciones,Kingdom Rush: Rift in Time,1.5
Expansión y Desarrollo de Civilizaciones,Kiwi Chow Down,1.8
Expansión y Desarrollo de Civilizaciones,Butterfly Garden,0.8
Expansión y Desarrollo de Civilizaciones,Loteria,0.7
Expansión y Desarrollo de Civilizaciones,Upwords,0.8
Expansión y Desarrollo de Civilizaciones,Monopoly,1.6
Expansión y Desarrollo de Civilizaciones,7 Wonders Duel,5.0
Expansión y Desarrollo de Civilizaciones,Stella,0.8
Expansión y Desarrollo de Civilizaciones,Labyrinth,1.5
Expansión y Desarrollo de Civilizaciones,King of the Dice,0.8
Expansión y Desarrollo de Civilizaciones,Eight-Minute Empire,0.9
Expansión y Desarrollo de Civilizaciones,Card Game,0.9
Expansión y Desarrollo de Civilizaciones,Viva la Fotosíntesis,0.8
Expansión y Desarrollo de Civilizaciones,Carcassonne: Expansion 4 – The Tower,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Carcassonne: Expansion 7 – The Catapult,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Carcassonne: Expansion 3 – The Princess & The Dragon,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,Carcassonne: Expansion 2 – Traders & Builders,1.7000000000000002
Expansión y Desarrollo de Civilizaciones,The Settlers of Catan: The Fishermen of Catan,0.7
Expansión y Desarrollo de Civilizaciones,Hive Pocket,0.8
Expansión y Desarrollo de Civilizaciones,LYNGK,0.8
Expansión y Desarrollo de Civilizaciones,Kabaleo,0.8
Expansión y Desarrollo de Civilizaciones,Jaipur,0.9
Expansión y Desarrollo de Civilizaciones,Viticulture,2.7
